TIME,EKTH,HS_PART,WP_PART,WSPD_ECMWF,WDIR_ECMWF,BOT_DEPTH,DIST2COAST,Outlier_Label
2022-01-08 21:00:00,6.4993744,0.54396445,242.14877,6.4396152,158.2775,-3824.2969,934.75,0
2022-01-09 00:00:00,26.100418,1.0562501,303.75513,10.805,309.305,-2931.6494,357.5,1
2022-01-09 03:00:00,25.919453,0.8125719,241.79785,6.6316886,162.49675,-5070.7773,929.96106,0
2022-01-09 06:00:00,9.876033,0.60556144,239.75162,7.715937,174.81999,-3435.6562,374.1146,0
2022-01-09 09:00:00,11.464686,0.70644176,262.2819,7.555493,218.78607,-4202.9663,1152.1409,0
2022-01-09 12:00:00,12.981881,0.6831105,281.87512,7.5722365,230.73407,-4163.926,781.25,0
2022-01-09 15:00:00,16.56574,0.6896399,267.713,8.3413,179.3087,-4628.898,528.6507,0
2022-01-09 18:00:00,12.295185,0.5489527,240.19263,6.5172215,149.34332,-3103.8438,236.16667,0
2022-01-09 21:00:00,12.532707,0.6817194,249.91263,8.124462,161.28091,-4202.8594,1060.5231,0
2022-01-10 00:00:00,15.020791,0.748242,230.15083,7.6995454,199.58794,-4621.704,722.9091,0
2022-01-10 03:00:00,13.284612,0.6678167,240.37076,7.5972414,167.24551,-4513.191,682.65515,0
2022-01-10 06:00:00,19.1641,0.7507247,278.29236,6.8886256,149.74443,-3771.9148,474.48856,0
2022-01-10 09:00:00,8.836333,0.63358945,264.34906,7.6042857,251.36714,-4402.0986,983.7143,0
2022-01-10 12:00:00,13.341431,0.6763307,278.7331,6.9886565,221.47687,-3912.5852,1313.9851,0
2022-01-10 15:00:00,16.659243,0.6681019,292.50983,7.3882666,198.2726,-4472.558,686.7867,0
2022-01-10 18:00:00,11.538919,0.6208048,226.4873,6.728043,133.4563,-3206.9434,226.69565,0
2022-01-10 21:00:00,22.616714,0.8175046,302.29123,8.797368,268.4982,-3992.446,963.7105,0
2022-01-11 03:00:00,30.891674,0.80361956,257.6315,6.450146,134.63486,-4761.697,767.89703,0
2022-01-11 06:00:00,13.3313675,0.6745293,260.83426,7.234132,180.06842,-3805.673,450.4132,0
2022-01-11 09:00:00,17.718136,0.6868001,295.95676,9.085663,235.05191,-4548.0005,917.9759,0
2022-01-11 12:00:00,17.752007,0.77907205,298.57397,8.532657,206.3039,-3802.082,940.7344,0
2022-01-11 15:00:00,15.756315,0.67138237,246.42546,7.413542,183.17258,-4519.6016,599.2847,0
2022-01-11 18:00:00,4.3231964,0.5447785,215.7844,5.728334,109.4989,-3104.6182,226.72223,0
2022-01-12 03:00:00,23.815205,0.8188262,275.5683,7.141061,178.53394,-4790.1157,1046.6212,0
2022-01-12 06:00:00,14.343718,0.72523934,273.43832,8.932753,167.84872,-2858.117,334.46378,0
2022-01-12 09:00:00,23.171375,0.7509252,277.18033,8.233659,187.98488,-4364.3916,795.29266,0
2022-01-12 12:00:00,13.9079,0.699436,267.36426,7.637794,196.0291,-4091.4714,1296.9412,0
2022-01-12 15:00:00,10.611997,0.670874,356.30942,8.7018175,177.18727,-4669.4824,744.63635,0
2022-01-12 18:00:00,30.454355,0.84400797,302.19748,8.649333,172.11334,-4289.7246,852.5333,0
2022-01-13 06:00:00,11.500633,0.7075209,280.69223,7.8892307,141.2803,-3711.674,350.06152,0
2022-01-13 18:00:00,3.029938,0.47297436,220.11043,7.3994737,130.05263,-3961.836,266.1579,0
2022-01-13 21:00:00,8.364318,0.6374289,238.44002,7.3726583,210.29153,-4488.8057,1047.5316,0
2022-01-14 00:00:00,4.5087748,0.46277985,276.6585,6.1973677,123.00685,-4029.2463,1131.579,0
2022-01-14 03:00:00,14.250101,0.6952007,248.56111,8.292999,171.28201,-5043.986,918.825,0
2022-01-14 06:00:00,26.582764,0.7939335,249.52507,10.096667,155.0985,-3398.0125,402.12643,0
2022-01-14 09:00:00,6.3936725,0.62607455,246.41426,5.050652,244.32564,-4294.4243,857.9783,0
2022-01-14 12:00:00,12.161538,0.70082027,266.7141,8.109356,212.99332,-4172.1357,1095.129,0
2022-01-14 15:00:00,16.163868,0.7202983,256.19238,9.209999,164.59398,-4598.0913,640.7748,0
2022-01-14 18:00:00,19.945934,0.6593184,255.95938,6.792967,160.2012,-3759.1704,409.75824,0
2022-01-14 21:00:00,9.366328,0.7515907,243.76419,7.44125,222.5303,-4169.3823,931.8125,0
2022-01-15 00:00:00,38.403946,1.0790001,299.55536,11.349999,263.49,-3873.521,393.0,1
2022-01-15 03:00:00,11.996875,0.6664558,257.52414,9.143999,119.87222,-4529.947,245.57777,0
2022-01-15 06:00:00,22.856813,0.8187696,306.3412,7.73648,160.72427,-3730.7659,494.64816,0
2022-01-15 09:00:00,30.125454,0.8114172,287.38153,10.5760355,197.34981,-4480.7134,673.63794,0
2022-01-15 12:00:00,6.857788,0.6040293,244.42496,6.6952,207.91199,-4113.1514,1162.6666,0
2022-01-15 15:00:00,20.97703,0.8210589,285.48358,9.751,189.38113,-4297.817,687.85333,0
